#bin    chrom   chromStart  chromEnd    ix  n   size    type    bridge
23  chr1    121535434   124535434   1270    N   3000000 centromere  no
20  chr2    92326171    95326171    770 N   3000000 centromere  no
2   chr3    90504854    93504854    784 N   3000000 centromere  no
1   chr4    49660117    52660117    447 N   3000000 centromere  no
14  chr5    46405641    49405641    452 N   3000000 centromere  no
16  chr6    58830166    61830166    628 N   3000000 centromere  no
1   chr7    58054331    61054331    564 N   3000000 centromere  no
14  chr8    43838887    46838887    376 N   3000000 centromere  no
1   chr9    47367679    50367679    411 N   3000000 centromere  no
1   chrX    58632012    61632012    583 N   3000000 centromere  no
10  chrY    10104553    13104553    105 N   3000000 centromere  no
1   chr10   39254935    42254935    341 N   3000000 centromere  no
15  chr11   51644205    54644205    447 N   3000000 centromere  no
13  chr12   34856694    37856694    304 N   3000000 centromere  no
1   chr13   16000000    19000000    3   N   3000000 centromere  no
1   chr14   16000000    19000000    3   N   3000000 centromere  no
11  chr15   17000000    20000000    3   N   3000000 centromere  no
13  chr16   35335801    38335801    354 N   3000000 centromere  no
1   chr17   22263006    25263006    192 N   3000000 centromere  no
1   chr18   15460898    18460898    125 N   3000000 centromere  no
1   chr19   24681782    27681782    410 N   3000000 centromere  no
12  chr20   26369569    29369569    275 N   3000000 centromere  no
10  chr21   11288129    14288129    22  N   3000000 centromere  no
10  chr22   13000000    16000000    3   N   3000000 centromere  no
